year,state,month,number,date
2017,AC,Julho,457,2017-01-01
1998,AC,Agosto,130,1998-01-01
1999,AC,Agosto,63,1999-01-01
2000,AC,Agosto,136,2000-01-01
2001,AC,Agosto,396,2001-01-01
2002,AC,Agosto,728,2002-01-01
2003,AC,Agosto,1976,2003-01-01
2004,AC,Agosto,645,2004-01-01
2005,AC,Agosto,4198,2005-01-01
2006,AC,Agosto,839,2006-01-01
2007,AC,Agosto,960,2007-01-01
2008,AC,Agosto,445,2008-01-01
2009,AC,Agosto,194,2009-01-01
2010,AC,Agosto,1682,2010-01-01
2011,AC,Agosto,425,2011-01-01
2012,AC,Agosto,739,2012-01-01
2013,AC,Agosto,679,2013-01-01
2014,AC,Agosto,11,2014-01-01
2015,AC,Agosto,1397,2015-01-01
2016,AC,Agosto,2188,2016-01-01
2017,AC,Agosto,1493,2017-01-01
1998,AC,Setembro,509,1998-01-01
1999,AC,Setembro,209,1999-01-01
2000,AC,Setembro,265,2000-01-01
2001,AC,Setembro,290,2001-01-01
2002,AC,Setembro,1949,2002-01-01
2003,AC,Setembro,3942,2003-01-01
2004,AC,Setembro,1978,2004-01-01
2005,AC,Setembro,4253,2005-01-01
2006,AC,Setembro,237,2006-01-01
2007,AC,Setembro,208,2007-01-01
2008,AC,Setembro,1666,2008-01-01
2009,AC,Setembro,1265,2009-01-01
2010,AC,Setembro,2531,2010-01-01
2011,AC,Setembro,1204,2011-01-01
2012,AC,Setembro,1996,2012-01-01
2013,AC,Setembro,2136,2013-01-01
2014,AC,Setembro,2175,2014-01-01
2015,AC,Setembro,2928,2015-01-01
2016,AC,Setembro,3586,2016-01-01
2017,AC,Setembro,3429,2017-01-01
1998,AC,Outubro,44,1998-01-01
1999,AC,Outubro,60,1999-01-01
2000,AC,Outubro,18,2000-01-01
2001,AC,Outubro,137,2001-01-01
2002,AC,Outubro,687,2002-01-01
2003,AC,Outubro,740,2003-01-01
2004,AC,Outubro,461,2004-01-01
2005,AC,Outubro,547,2005-01-01
2006,AC,Outubro,316,2006-01-01
2007,AC,Outubro,203,2007-01-01
2008,AC,Outubro,652,2008-01-01
2009,AC,Outubro,565,2009-01-01
2010,AC,Outubro,292,2010-01-01
2011,AC,Outubro,97,2011-01-01
