year,state,month,number,date
2009,DF,Novembro,0,2009-01-01
2010,DF,Novembro,0,2010-01-01
2011,DF,Novembro,1,2011-01-01
2012,DF,Novembro,0,2012-01-01
2013,DF,Novembro,0,2013-01-01
2014,DF,Novembro,0,2014-01-01
2015,DF,Novembro,3,2015-01-01
2016,DF,Novembro,1,2016-01-01
2017,DF,Novembro,0,2017-01-01
1998,DF,Dezembro,0,1998-01-01
1999,DF,Dezembro,0,1999-01-01
2000,DF,Dezembro,0,2000-01-01
2001,DF,Dezembro,1,2001-01-01
2002,DF,Dezembro,1,2002-01-01
2003,DF,Dezembro,0,2003-01-01
2004,DF,Dezembro,0,2004-01-01
2005,DF,Dezembro,0,2005-01-01
2006,DF,Dezembro,0,2006-01-01
2007,DF,Dezembro,0,2007-01-01
2008,DF,Dezembro,0,2008-01-01
2009,DF,Dezembro,0,2009-01-01
2010,DF,Dezembro,1,2010-01-01
2011,DF,Dezembro,0,2011-01-01
2012,DF,Dezembro,0,2012-01-01
2013,DF,Dezembro,2,2013-01-01
2014,DF,Dezembro,0,2014-01-01
2015,DF,Dezembro,0,2015-01-01
2016,DF,Dezembro,0,2016-01-01
1998,ES,Janeiro,0,1998-01-01
1999,ES,Janeiro,33,1999-01-01
2000,ES,Janeiro,5,2000-01-01
2001,ES,Janeiro,1,2001-01-01
2002,ES,Janeiro,2,2002-01-01
2003,ES,Janeiro,4,2003-01-01
2004,ES,Janeiro,1,2004-01-01
2005,ES,Janeiro,4,2005-01-01
2006,ES,Janeiro,13,2006-01-01
2007,ES,Janeiro,0,2007-01-01
2008,ES,Janeiro,12,2008-01-01
2009,ES,Janeiro,4,2009-01-01
2010,ES,Janeiro,52,2010-01-01
2011,ES,Janeiro,3,2011-01-01
2012,ES,Janeiro,1,2012-01-01
2013,ES,Janeiro,10,2013-01-01
2014,ES,Janeiro,11,2014-01-01
2015,ES,Janeiro,76,2015-01-01
2016,ES,Janeiro,43,2016-01-01
2017,ES,Janeiro,13,2017-01-01
1998,ES,Fevereiro,0,1998-01-01
1999,ES,Fevereiro,10,1999-01-01
2000,ES,Fevereiro,5,2000-01-01
2001,ES,Fevereiro,5,2001-01-01
2002,ES,Fevereiro,4,2002-01-01
2003,ES,Fevereiro,11,2003-01-01
2004,ES,Fevereiro,5,2004-01-01
2005,ES,Fevereiro,1,2005-01-01
2006,ES,Fevereiro,45,2006-01-01
2007,ES,Fevereiro,3,2007-01-01
2008,ES,Fevereiro,20,2008-01-01
2009,ES,Fevereiro,12,2009-01-01
2010,ES,Fevereiro,15,2010-01-01
2011,ES,Fevereiro,42,2011-01-01
2012,ES,Fevereiro,25,2012-01-01
2013,ES,Fevereiro,15,2013-01-01
2014,ES,Fevereiro,17,2014-01-01
2015,ES,Fevereiro,60,2015-01-01
2016,ES,Fevereiro,24,2016-01-01
2017,ES,Fevereiro,8,2017-01-01
1998,ES,Mar�o,0,1998-01-01
1999,ES,Mar�o,8,1999-01-01
2000,ES,Mar�o,1,2000-01-01
2001,ES,Mar�o,2,2001-01-01
2002,ES,Mar�o,4,2002-01-01
2003,ES,Mar�o,28,2003-01-01
2004,ES,Mar�o,3,2004-01-01
2005,ES,Mar�o,3,2005-01-01
2006,ES,Mar�o,14,2006-01-01
2007,ES,Mar�o,9,2007-01-01
2008,ES,Mar�o,5,2008-01-01
2009,ES,Mar�o,11,2009-01-01
2010,ES,Mar�o,3,2010-01-01
2011,ES,Mar�o,5,2011-01-01
2012,ES,Mar�o,35,2012-01-01
2013,ES,Mar�o,13,2013-01-01
2014,ES,Mar�o,15,2014-01-01
2015,ES,Mar�o,25,2015-01-01
2016,ES,Mar�o,107,2016-01-01
2017,ES,Mar�o,9,2017-01-01
1998,ES,Abril,0,1998-01-01
1999,ES,Abril,2,1999-01-01
2000,ES,Abril,3,2000-01-01
2001,ES,Abril,2,2001-01-01
2002,ES,Abril,2,2002-01-01
2003,ES,Abril,22,2003-01-01
2004,ES,Abril,0,2004-01-01
2005,ES,Abril,4,2005-01-01
2006,ES,Abril,1,2006-01-01
2007,ES,Abril,2,2007-01-01
2008,ES,Abril,8,2008-01-01
2009,ES,Abril,8,2009-01-01
2010,ES,Abril,7,2010-01-01
2011,ES,Abril,3,2011-01-01
2012,ES,Abril,74,2012-01-01
2013,ES,Abril,16,2013-01-01
2014,ES,Abril,15,2014-01-01
2015,ES,Abril,33,2015-01-01
2016,ES,Abril,57,2016-01-01
2017,ES,Abril,7,2017-01-01
1998,ES,Maio,0,1998-01-01
1999,ES,Maio,16,1999-01-01
2000,ES,Maio,2,2000-01-01
2001,ES,Maio,8,2001-01-01
2002,ES,Maio,5,2002-01-01
2003,ES,Maio,1,2003-01-01
2004,ES,Maio,0,2004-01-01
2005,ES,Maio,5,2005-01-01
2006,ES,Maio,0,2006-01-01
2007,ES,Maio,1,2007-01-01
2008,ES,Maio,2,2008-01-01
2009,ES,Maio,7,2009-01-01
2010,ES,Maio,3,2010-01-01
2011,ES,Maio,2,2011-01-01
2012,ES,Maio,20,2012-01-01
2013,ES,Maio,14,2013-01-01
2014,ES,Maio,18,2014-01-01
2015,ES,Maio,17,2015-01-01
2016,ES,Maio,48,2016-01-01
2017,ES,Maio,10,2017-01-01
1998,ES,Junho,6,1998-01-01
1999,ES,Junho,6,1999-01-01
2000,ES,Junho,9,2000-01-01
2001,ES,Junho,9,2001-01-01
2002,ES,Junho,18,2002-01-01
2003,ES,Junho,19,2003-01-01
2004,ES,Junho,3,2004-01-01
2005,ES,Junho,8,2005-01-01
2006,ES,Junho,5,2006-01-01
2007,ES,Junho,4,2007-01-01
2008,ES,Junho,4,2008-01-01
2009,ES,Junho,12,2009-01-01
2010,ES,Junho,3,2010-01-01
2011,ES,Junho,7,2011-01-01
2012,ES,Junho,15,2012-01-01
2013,ES,Junho,22,2013-01-01
2014,ES,Junho,9,2014-01-01
2015,ES,Junho,18,2015-01-01
2016,ES,Junho,49,2016-01-01
2017,ES,Junho,37,2017-01-01
1998,ES,Julho,37,1998-01-01
1999,ES,Julho,9,1999-01-01
2000,ES,Julho,16,2000-01-01
2001,ES,Julho,12,2001-01-01
2002,ES,Julho,9,2002-01-01
2003,ES,Julho,27,2003-01-01
2004,ES,Julho,4,2004-01-01
2005,ES,Julho,9,2005-01-01
2006,ES,Julho,11,2006-01-01
2007,ES,Julho,13,2007-01-01
2008,ES,Julho,5,2008-01-01
2009,ES,Julho,25,2009-01-01
2010,ES,Julho,5,2010-01-01
2011,ES,Julho,18,2011-01-01
2012,ES,Julho,35,2012-01-01
2013,ES,Julho,20,2013-01-01
2014,ES,Julho,17,2014-01-01
2015,ES,Julho,30,2015-01-01
2016,ES,Julho,42,2016-01-01
2017,ES,Julho,3,2017-01-01
1998,ES,Agosto,38,1998-01-01
1999,ES,Agosto,60,1999-01-01
2000,ES,Agosto,26,2000-01-01
2001,ES,Agosto,30,2001-01-01
2002,ES,Agosto,60,2002-01-01
2003,ES,Agosto,118,2003-01-01
2004,ES,Agosto,12,2004-01-01
2005,ES,Agosto,12,2005-01-01
2006,ES,Agosto,29,2006-01-01
2007,ES,Agosto,82,2007-01-01
2008,ES,Agosto,13,2008-01-01
2009,ES,Agosto,17,2009-01-01
2010,ES,Agosto,39,2010-01-01
2011,ES,Agosto,93,2011-01-01
2012,ES,Agosto,12,2012-01-01
2013,ES,Agosto,53,2013-01-01
2014,ES,Agosto,47,2014-01-01
2015,ES,Agosto,35,2015-01-01
2016,ES,Agosto,78,2016-01-01
2017,ES,Agosto,30,2017-01-01
1998,ES,Setembro,108,1998-01-01
1999,ES,Setembro,64,1999-01-01
2000,ES,Setembro,14,2000-01-01
2001,ES,Setembro,38,2001-01-01
2002,ES,Setembro,46,2002-01-01
2003,ES,Setembro,252,2003-01-01
2004,ES,Setembro,47,2004-01-01
2005,ES,Setembro,8,2005-01-01
2006,ES,Setembro,87,2006-01-01
2007,ES,Setembro,63,2007-01-01
2008,ES,Setembro,78,2008-01-01
2009,ES,Setembro,57,2009-01-01
2010,ES,Setembro,53,2010-01-01
2011,ES,Setembro,108,2011-01-01
2012,ES,Setembro,48,2012-01-01
2013,ES,Setembro,30,2013-01-01
2014,ES,Setembro,61,2014-01-01
2015,ES,Setembro,228,2015-01-01
2016,ES,Setembro,128,2016-01-01
2017,ES,Setembro,58,2017-01-01
1998,ES,Outubro,20,1998-01-01
1999,ES,Outubro,23,1999-01-01
2000,ES,Outubro,88,2000-01-01
2001,ES,Outubro,19,2001-01-01
2002,ES,Outubro,113,2002-01-01
2003,ES,Outubro,159,2003-01-01
2004,ES,Outubro,48,2004-01-01
2005,ES,Outubro,62,2005-01-01
2006,ES,Outubro,10,2006-01-01
2007,ES,Outubro,79,2007-01-01
2008,ES,Outubro,100,2008-01-01
2009,ES,Outubro,13,2009-01-01
2010,ES,Outubro,32,2010-01-01
2011,ES,Outubro,38,2011-01-01
2012,ES,Outubro,62,2012-01-01
2013,ES,Outubro,37,2013-01-01
2014,ES,Outubro,89,2014-01-01
2015,ES,Outubro,307,2015-01-01
2016,ES,Outubro,58,2016-01-01
2017,ES,Outubro,56,2017-01-01
1998,ES,Novembro,4,1998-01-01
1999,ES,Novembro,9,1999-01-01
2000,ES,Novembro,3,2000-01-01
2001,ES,Novembro,3,2001-01-01
2002,ES,Novembro,22,2002-01-01
2003,ES,Novembro,49,2003-01-01
2004,ES,Novembro,42,2004-01-01
2005,ES,Novembro,0,2005-01-01
2006,ES,Novembro,0,2006-01-01
2007,ES,Novembro,112,2007-01-01
2008,ES,Novembro,3,2008-01-01
2009,ES,Novembro,18,2009-01-01
2010,ES,Novembro,3,2010-01-01
2011,ES,Novembro,6,2011-01-01
2012,ES,Novembro,7,2012-01-01
2013,ES,Novembro,11,2013-01-01
2014,ES,Novembro,20,2014-01-01
2015,ES,Novembro,141,2015-01-01
2016,ES,Novembro,8,2016-01-01
2017,ES,Novembro,3,2017-01-01
1998,ES,Dezembro,5,1998-01-01
1999,ES,Dezembro,0,1999-01-01
2000,ES,Dezembro,3,2000-01-01
2001,ES,Dezembro,1,2001-01-01
2002,ES,Dezembro,12,2002-01-01
2003,ES,Dezembro,18,2003-01-01
2004,ES,Dezembro,9,2004-01-01
2005,ES,Dezembro,5,2005-01-01
2006,ES,Dezembro,0,2006-01-01
2007,ES,Dezembro,14,2007-01-01
2008,ES,Dezembro,1,2008-01-01
2009,ES,Dezembro,32,2009-01-01
2010,ES,Dezembro,10,2010-01-01
2011,ES,Dezembro,1,2011-01-01
2012,ES,Dezembro,18,2012-01-01
2013,ES,Dezembro,9,2013-01-01
2014,ES,Dezembro,28,2014-01-01
2015,ES,Dezembro,61,2015-01-01
2016,ES,Dezembro,12,2016-01-01
1998,GO,Janeiro,0,1998-01-01
1999,GO,Janeiro,14,1999-01-01
2000,GO,Janeiro,10,2000-01-01
2001,GO,Janeiro,29,2001-01-01
2002,GO,Janeiro,12,2002-01-01
2003,GO,Janeiro,14,2003-01-01
2004,GO,Janeiro,10,2004-01-01
2005,GO,Janeiro,27,2005-01-01
2006,GO,Janeiro,85,2006-01-01
2007,GO,Janeiro,28,2007-01-01
2008,GO,Janeiro,23,2008-01-01
2009,GO,Janeiro,30,2009-01-01
2010,GO,Janeiro,59,2010-01-01
2011,GO,Janeiro,39,2011-01-01
2012,GO,Janeiro,21,2012-01-01
2013,GO,Janeiro,33,2013-01-01
2014,GO,Janeiro,80,2014-01-01
2015,GO,Janeiro,118,2015-01-01
2016,GO,Janeiro,52,2016-01-01
2017,GO,Janeiro,53,2017-01-01
1998,GO,Fevereiro,0,1998-01-01
1999,GO,Fevereiro,334,1999-01-01
2000,GO,Fevereiro,11,2000-01-01
2001,GO,Fevereiro,9,2001-01-01
2002,GO,Fevereiro,9,2002-01-01
2003,GO,Fevereiro,47,2003-01-01
2004,GO,Fevereiro,11,2004-01-01
2005,GO,Fevereiro,84,2005-01-01
2006,GO,Fevereiro,21,2006-01-01
2007,GO,Fevereiro,13,2007-01-01
2008,GO,Fevereiro,25,2008-01-01
2009,GO,Fevereiro,29,2009-01-01
2010,GO,Fevereiro,86,2010-01-01
2011,GO,Fevereiro,45,2011-01-01
2012,GO,Fevereiro,37,2012-01-01
2013,GO,Fevereiro,86,2013-01-01
2014,GO,Fevereiro,44,2014-01-01
2015,GO,Fevereiro,53,2015-01-01
2016,GO,Fevereiro,117,2016-01-01
2017,GO,Fevereiro,75,2017-01-01
1998,GO,Mar�o,0,1998-01-01
1999,GO,Mar�o,1,1999-01-01
2000,GO,Mar�o,4,2000-01-01
2001,GO,Mar�o,10,2001-01-01
2002,GO,Mar�o,48,2002-01-01
2003,GO,Mar�o,29,2003-01-01
2004,GO,Mar�o,36,2004-01-01
2005,GO,Mar�o,36,2005-01-01
2006,GO,Mar�o,29,2006-01-01
2007,GO,Mar�o,49,2007-01-01
2008,GO,Mar�o,20,2008-01-01
2009,GO,Mar�o,32,2009-01-01
2010,GO,Mar�o,65,2010-01-01
2011,GO,Mar�o,19,2011-01-01
2012,GO,Mar�o,57,2012-01-01
2013,GO,Mar�o,79,2013-01-01
2014,GO,Mar�o,80,2014-01-01
2015,GO,Mar�o,76,2015-01-01
2016,GO,Mar�o,136,2016-01-01
2017,GO,Mar�o,115,2017-01-01
1998,GO,Abril,0,1998-01-01
1999,GO,Abril,25,1999-01-01
2000,GO,Abril,16,2000-01-01
2001,GO,Abril,49,2001-01-01
2002,GO,Abril,78,2002-01-01
2003,GO,Abril,87,2003-01-01
2004,GO,Abril,32,2004-01-01
2005,GO,Abril,55,2005-01-01
2006,GO,Abril,22,2006-01-01
2007,GO,Abril,17,2007-01-01
2008,GO,Abril,36,2008-01-01
2009,GO,Abril,11,2009-01-01
2010,GO,Abril,105,2010-01-01
2011,GO,Abril,71,2011-01-01
2012,GO,Abril,89,2012-01-01
2013,GO,Abril,42,2013-01-01
2014,GO,Abril,138,2014-01-01
2015,GO,Abril,89,2015-01-01
2016,GO,Abril,167,2016-01-01
2017,GO,Abril,60,2017-01-01
1998,GO,Maio,0,1998-01-01
1999,GO,Maio,99,1999-01-01
2000,GO,Maio,58,2000-01-01
2001,GO,Maio,85,2001-01-01
2002,GO,Maio,171,2002-01-01
2003,GO,Maio,57,2003-01-01
2004,GO,Maio,157,2004-01-01
2005,GO,Maio,164,2005-01-01
2006,GO,Maio,33,2006-01-01
2007,GO,Maio,94,2007-01-01
2008,GO,Maio,41,2008-01-01
2009,GO,Maio,104,2009-01-01
2010,GO,Maio,239,2010-01-01
2011,GO,Maio,136,2011-01-01
2012,GO,Maio,103,2012-01-01
2013,GO,Maio,150,2013-01-01
2014,GO,Maio,210,2014-01-01
2015,GO,Maio,129,2015-01-01
2016,GO,Maio,233,2016-01-01
2017,GO,Maio,135,2017-01-01
1998,GO,Junho,172,1998-01-01
1999,GO,Junho,250,1999-01-01
2000,GO,Junho,222,2000-01-01
2001,GO,Junho,212,2001-01-01
2002,GO,Junho,302,2002-01-01
2003,GO,Junho,321,2003-01-01
2004,GO,Junho,422,2004-01-01
2005,GO,Junho,189,2005-01-01
2006,GO,Junho,70,2006-01-01
2007,GO,Junho,186,2007-01-01
2008,GO,Junho,55,2008-01-01
2009,GO,Junho,179,2009-01-01
2010,GO,Junho,278,2010-01-01
2011,GO,Junho,314,2011-01-01
2012,GO,Junho,245,2012-01-01
2013,GO,Junho,192,2013-01-01
2014,GO,Junho,318,2014-01-01
2015,GO,Junho,277,2015-01-01
2016,GO,Junho,289,2016-01-01
2017,GO,Junho,442,2017-01-01
1998,GO,Julho,512,1998-01-01
1999,GO,Julho,311,1999-01-01
2000,GO,Julho,332,2000-01-01
2001,GO,Julho,371,2001-01-01
2002,GO,Julho,686,2002-01-01
2003,GO,Julho,322,2003-01-01
2004,GO,Julho,778,2004-01-01
2005,GO,Julho,363,2005-01-01
2006,GO,Julho,169,2006-01-01
2007,GO,Julho,399,2007-01-01
2008,GO,Julho,193,2008-01-01
2009,GO,Julho,470,2009-01-01
2010,GO,Julho,941,2010-01-01
2011,GO,Julho,607,2011-01-01
2012,GO,Julho,564,2012-01-01
2013,GO,Julho,350,2013-01-01
2014,GO,Julho,446,2014-01-01
2015,GO,Julho,347,2015-01-01
2016,GO,Julho,837,2016-01-01
2017,GO,Julho,577,2017-01-01
1998,GO,Agosto,2218,1998-01-01
1999,GO,Agosto,1198,1999-01-01
2000,GO,Agosto,925,2000-01-01
2001,GO,Agosto,787,2001-01-01
2002,GO,Agosto,1428,2002-01-01
2003,GO,Agosto,902,2003-01-01
2004,GO,Agosto,1498,2004-01-01
2005,GO,Agosto,639,2005-01-01
2006,GO,Agosto,588,2006-01-01
2007,GO,Agosto,2382,2007-01-01
2008,GO,Agosto,568,2008-01-01
2009,GO,Agosto,647,2009-01-01
2010,GO,Agosto,2914,2010-01-01
2011,GO,Agosto,1613,2011-01-01
2012,GO,Agosto,912,2012-01-01
2013,GO,Agosto,488,2013-01-01
2014,GO,Agosto,1255,2014-01-01
2015,GO,Agosto,943,2015-01-01
2016,GO,Agosto,1032,2016-01-01
2017,GO,Agosto,1492,2017-01-01
1998,GO,Setembro,2867,1998-01-01
1999,GO,Setembro,1898,1999-01-01
2000,GO,Setembro,1293,2000-01-01
2001,GO,Setembro,1863,2001-01-01
2002,GO,Setembro,352,2002-01-01
2003,GO,Setembro,1662,2003-01-01
2004,GO,Setembro,2965,2004-01-01
2005,GO,Setembro,1341,2005-01-01
2006,GO,Setembro,1463,2006-01-01
2007,GO,Setembro,3745,2007-01-01
2008,GO,Setembro,1255,2008-01-01
2009,GO,Setembro,685,2009-01-01
2010,GO,Setembro,5075,2010-01-01
2011,GO,Setembro,2259,2011-01-01
2012,GO,Setembro,2452,2012-01-01
2013,GO,Setembro,684,2013-01-01
2014,GO,Setembro,1687,2014-01-01
2015,GO,Setembro,2296,2015-01-01
2016,GO,Setembro,1703,2016-01-01
2017,GO,Setembro,3238,2017-01-01
1998,GO,Outubro,1034,1998-01-01
1999,GO,Outubro,743,1999-01-01
2000,GO,Outubro,905,2000-01-01
2001,GO,Outubro,479,2001-01-01
2002,GO,Outubro,1367,2002-01-01
2003,GO,Outubro,1183,2003-01-01
2004,GO,Outubro,1275,2004-01-01
2005,GO,Outubro,1717,2005-01-01
2006,GO,Outubro,178,2006-01-01
2007,GO,Outubro,1195,2007-01-01
2008,GO,Outubro,1231,2008-01-01
2009,GO,Outubro,367,2009-01-01
2010,GO,Outubro,1227,2010-01-01
2011,GO,Outubro,476,2011-01-01
2012,GO,Outubro,1524,2012-01-01
2013,GO,Outubro,606,2013-01-01
2014,GO,Outubro,1947,2014-01-01
2015,GO,Outubro,1807,2015-01-01
2016,GO,Outubro,522,2016-01-01
2017,GO,Outubro,2401,2017-01-01
1998,GO,Novembro,47,1998-01-01
1999,GO,Novembro,110,1999-01-01
2000,GO,Novembro,26,2000-01-01
2001,GO,Novembro,15,2001-01-01
2002,GO,Novembro,192,2002-01-01
2003,GO,Novembro,168,2003-01-01
2004,GO,Novembro,291,2004-01-01
2005,GO,Novembro,144,2005-01-01
2006,GO,Novembro,91,2006-01-01
2007,GO,Novembro,79,2007-01-01
2008,GO,Novembro,90,2008-01-01
2009,GO,Novembro,89,2009-01-01
2010,GO,Novembro,67,2010-01-01
2011,GO,Novembro,59,2011-01-01
2012,GO,Novembro,57,2012-01-01
2013,GO,Novembro,183,2013-01-01
2014,GO,Novembro,181,2014-01-01
2015,GO,Novembro,547,2015-01-01
2016,GO,Novembro,123,2016-01-01
2017,GO,Novembro,117,2017-01-01
1998,GO,Dezembro,13,1998-01-01
1999,GO,Dezembro,20,1999-01-01
2000,GO,Dezembro,6,2000-01-01
2001,GO,Dezembro,18,2001-01-01
2002,GO,Dezembro,115,2002-01-01
2003,GO,Dezembro,129,2003-01-01
2004,GO,Dezembro,56,2004-01-01
2005,GO,Dezembro,5,2005-01-01
2006,GO,Dezembro,7,2006-01-01
2007,GO,Dezembro,16,2007-01-01
2008,GO,Dezembro,6,2008-01-01
2009,GO,Dezembro,39,2009-01-01
2010,GO,Dezembro,48,2010-01-01
2011,GO,Dezembro,39,2011-01-01
2012,GO,Dezembro,93,2012-01-01
2013,GO,Dezembro,86,2013-01-01
2014,GO,Dezembro,68,2014-01-01
2015,GO,Dezembro,179,2015-01-01
2016,GO,Dezembro,64,2016-01-01
1998,MA,Janeiro,0,1998-01-01
1999,MA,Janeiro,54,1999-01-01
2000,MA,Janeiro,19,2000-01-01
2001,MA,Janeiro,29,2001-01-01
2002,MA,Janeiro,48,2002-01-01
2003,MA,Janeiro,436,2003-01-01
2004,MA,Janeiro,241,2004-01-01
2005,MA,Janeiro,450,2005-01-01
2006,MA,Janeiro,221,2006-01-01
2007,MA,Janeiro,428,2007-01-01
2008,MA,Janeiro,121,2008-01-01
2009,MA,Janeiro,240,2009-01-01
2010,MA,Janeiro,319,2010-01-01
2011,MA,Janeiro,124,2011-01-01
2012,MA,Janeiro,326,2012-01-01
2013,MA,Janeiro,209,2013-01-01
2014,MA,Janeiro,195,2014-01-01
2015,MA,Janeiro,494,2015-01-01
2016,MA,Janeiro,412,2016-01-01
2017,MA,Janeiro,187,2017-01-01
1998,MA,Fevereiro,0,1998-01-01
1999,MA,Fevereiro,6,1999-01-01
2000,MA,Fevereiro,11,2000-01-01
2001,MA,Fevereiro,1,2001-01-01
2002,MA,Fevereiro,116,2002-01-01
2003,MA,Fevereiro,11,2003-01-01
2004,MA,Fevereiro,22,2004-01-01
2005,MA,Fevereiro,56,2005-01-01
2006,MA,Fevereiro,22,2006-01-01
2007,MA,Fevereiro,13,2007-01-01
2008,MA,Fevereiro,45,2008-01-01
2009,MA,Fevereiro,20,2009-01-01
2010,MA,Fevereiro,93,2010-01-01
2011,MA,Fevereiro,9,2011-01-01
2012,MA,Fevereiro,46,2012-01-01
2013,MA,Fevereiro,62,2013-01-01
2014,MA,Fevereiro,29,2014-01-01
2015,MA,Fevereiro,95,2015-01-01
2016,MA,Fevereiro,318,2016-01-01
2017,MA,Fevereiro,47,2017-01-01
1998,MA,Mar�o,0,1998-01-01
1999,MA,Mar�o,17,1999-01-01
2000,MA,Mar�o,6,2000-01-01
2001,MA,Mar�o,0,2001-01-01
2002,MA,Mar�o,16,2002-01-01
2003,MA,Mar�o,16,2003-01-01
2004,MA,Mar�o,18,2004-01-01
2005,MA,Mar�o,9,2005-01-01
2006,MA,Mar�o,14,2006-01-01
2007,MA,Mar�o,52,2007-01-01
2008,MA,Mar�o,4,2008-01-01
2009,MA,Mar�o,33,2009-01-01
2010,MA,Mar�o,82,2010-01-01
2011,MA,Mar�o,22,2011-01-01
2012,MA,Mar�o,49,2012-01-01
2013,MA,Mar�o,30,2013-01-01
2014,MA,Mar�o,59,2014-01-01
2015,MA,Mar�o,53,2015-01-01
2016,MA,Mar�o,113,2016-01-01
2017,MA,Mar�o,32,2017-01-01
1998,MA,Abril,0,1998-01-01
1999,MA,Abril,4,1999-01-01
2000,MA,Abril,6,2000-01-01
2001,MA,Abril,2,2001-01-01
2002,MA,Abril,28,2002-01-01
2003,MA,Abril,79,2003-01-01
2004,MA,Abril,44,2004-01-01
2005,MA,Abril,43,2005-01-01
2006,MA,Abril,9,2006-01-01
2007,MA,Abril,5,2007-01-01
2008,MA,Abril,26,2008-01-01
2009,MA,Abril,14,2009-01-01
2010,MA,Abril,128,2010-01-01
2011,MA,Abril,37,2011-01-01
2012,MA,Abril,97,2012-01-01
2013,MA,Abril,62,2013-01-01
2014,MA,Abril,78,2014-01-01
2015,MA,Abril,119,2015-01-01
2016,MA,Abril,113,2016-01-01
2017,MA,Abril,91,2017-01-01
1998,MA,Maio,0,1998-01-01
1999,MA,Maio,3,1999-01-01
2000,MA,Maio,28,2000-01-01
2001,MA,Maio,21,2001-01-01
2002,MA,Maio,71,2002-01-01
2003,MA,Maio,60,2003-01-01
2004,MA,Maio,145,2004-01-01
2005,MA,Maio,74,2005-01-01
2006,MA,Maio,5,2006-01-01
2007,MA,Maio,73,2007-01-01
2008,MA,Maio,26,2008-01-01
2009,MA,Maio,19,2009-01-01
2010,MA,Maio,273,2010-01-01
2011,MA,Maio,73,2011-01-01
2012,MA,Maio,286,2012-01-01
2013,MA,Maio,100,2013-01-01
2014,MA,Maio,148,2014-01-01
2015,MA,Maio,194,2015-01-01
2016,MA,Maio,206,2016-01-01
2017,MA,Maio,142,2017-01-01
1998,MA,Junho,78,1998-01-01
1999,MA,Junho,32,1999-01-01
2000,MA,Junho,94,2000-01-01
2001,MA,Junho,100,2001-01-01
2002,MA,Junho,230,2002-01-01
2003,MA,Junho,338,2003-01-01
2004,MA,Junho,706,2004-01-01
2005,MA,Junho,529,2005-01-01
2006,MA,Junho,131,2006-01-01
2007,MA,Junho,515,2007-01-01
2008,MA,Junho,235,2008-01-01
2009,MA,Junho,279,2009-01-01
2010,MA,Junho,494,2010-01-01
2011,MA,Junho,602,2011-01-01
2012,MA,Junho,915,2012-01-01
2013,MA,Junho,498,2013-01-01
2014,MA,Junho,812,2014-01-01
2015,MA,Junho,887,2015-01-01
2016,MA,Junho,709,2016-01-01
2017,MA,Junho,885,2017-01-01
1998,MA,Julho,274,1998-01-01
1999,MA,Julho,258,1999-01-01
2000,MA,Julho,233,2000-01-01
2001,MA,Julho,549,2001-01-01
2002,MA,Julho,1271,2002-01-01
2003,MA,Julho,1103,2003-01-01
2004,MA,Julho,1366,2004-01-01
2005,MA,Julho,1152,2005-01-01
2006,MA,Julho,512,2006-01-01
2007,MA,Julho,1205,2007-01-01
2008,MA,Julho,502,2008-01-01
2009,MA,Julho,972,2009-01-01
2010,MA,Julho,2323,2010-01-01
2011,MA,Julho,1024,2011-01-01
2012,MA,Julho,3548,2012-01-01
2013,MA,Julho,1111,2013-01-01
2014,MA,Julho,2068,2014-01-01
2015,MA,Julho,1642,2015-01-01
2016,MA,Julho,2096,2016-01-01
2017,MA,Julho,2521,2017-01-01
1998,MA,Agosto,1176,1998-01-01
1999,MA,Agosto,895,1999-01-01
2000,MA,Agosto,839,2000-01-01
2001,MA,Agosto,2037,2001-01-01
2002,MA,Agosto,3481,2002-01-01
2003,MA,Agosto,2023,2003-01-01
2004,MA,Agosto,1889,2004-01-01
2005,MA,Agosto,2239,2005-01-01
2006,MA,Agosto,1382,2006-01-01
2007,MA,Agosto,8409,2007-01-01
2008,MA,Agosto,713,2008-01-01
2009,MA,Agosto,1766,2009-01-01
2010,MA,Agosto,6353,2010-01-01
2011,MA,Agosto,2138,2011-01-01
2012,MA,Agosto,10395,2012-01-01
2013,MA,Agosto,2098,2013-01-01
2014,MA,Agosto,5592,2014-01-01
2015,MA,Agosto,5428,2015-01-01
2016,MA,Agosto,3723,2016-01-01
2017,MA,Agosto,3875,2017-01-01
1998,MA,Setembro,3935,1998-01-01
1999,MA,Setembro,1739,1999-01-01
2000,MA,Setembro,1365,2000-01-01
2001,MA,Setembro,4618,2001-01-01
2002,MA,Setembro,3181,2002-01-01
2003,MA,Setembro,5878,2003-01-01
2004,MA,Setembro,4673,2004-01-01
2005,MA,Setembro,6292,2005-01-01
2006,MA,Setembro,2907,2006-01-01
2007,MA,Setembro,8524,2007-01-01
2008,MA,Setembro,2761,2008-01-01
2009,MA,Setembro,2404,2009-01-01
2010,MA,Setembro,9795,2010-01-01
2011,MA,Setembro,4632,2011-01-01
2012,MA,Setembro,7626,2012-01-01
2013,MA,Setembro,388,2013-01-01
2014,MA,Setembro,4373,2014-01-01
2015,MA,Setembro,6423,2015-01-01
2016,MA,Setembro,3166,2016-01-01
2017,MA,Setembro,14825,2017-01-01
1998,MA,Outubro,5137,1998-01-01
1999,MA,Outubro,3208,1999-01-01
2000,MA,Outubro,2654,2000-01-01
2001,MA,Outubro,6661,2001-01-01
2002,MA,Outubro,5182,2002-01-01
